n r phi z vr vphi vz mass charge
     62   2.228252  -2.336429   0.046719 -1.191100e+07 -4.896336e+06 -1.715484e+06 4.001 2
     63   1.877451   2.322751  -0.381443 -9.687862e+06  1.002439e+06  8.598212e+06 4.001 2
     64   1.878377   2.538499  -0.570231  1.107165e+07  1.706378e+06 -6.579948e+06 4.001 2
     65   2.003664   1.816513   0.489087 -3.615282e+05 -7.804847e+06 -1.037991e+07 4.001 2
     66   1.706003  -3.103905  -0.087147 -8.579265e+06 -1.880577e+05 -9.754468e+06 4.001 2
     67   2.230307   3.134467  -0.281170  9.120562e+06  6.801790e+06 -6.272146e+06 4.001 2
     68   1.844786  -1.295950  -0.856317 -9.348446e+06 -4.400257e+05  9.011200e+06 4.001 2
     69   1.704214   0.800314   0.037227 -7.901853e+06 -3.003978e+06  9.865376e+06 4.001 2
     70   1.710947   1.638564  -0.566375 -7.765109e+06  4.391826e+06  9.444774e+06 4.001 2
     71   2.054630   0.189185  -0.148541  2.924517e+06  1.084754e+07  6.524336e+06 4.001 2
     72   2.159772  -3.047141   0.316331 -1.067561e+07 -7.249417e+06  1.505354e+06 4.001 2
     73   2.242882  -1.024694  -0.128520 -6.421279e+06 -2.802323e+06  1.094088e+07 4.001 2
     74   1.542507   2.583074   0.514590  9.734470e+06 -8.590754e+06 -4.773273e+05 4.001 2
     75   1.581426  -1.348175   0.754706  1.107472e+07 -4.367322e+06  5.202480e+06 4.001 2
     76   1.565763  -2.046170   1.029670  1.103165e+07  4.119700e+06 -5.488132e+06 4.001 2
     77   2.063434   0.215143   0.141107 -9.606060e+06  9.355769e+05  8.696960e+06 4.001 2
     78   1.431276   2.515132  -0.605086 -8.538969e+06 -4.156401e+06  8.865616e+06 4.001 2
     79   1.526919  -3.129231  -0.086740 -1.291599e+07  1.161643e+06 -7.852079e+05 4.001 2
     80   1.861597  -0.013301  -0.456093 -1.161530e+07  1.380434e+06 -5.654020e+06 4.001 2
     81   2.093046  -1.222850   0.018201  5.343966e+06 -9.668267e+06 -6.837795e+06 4.001 2
     82   1.862810   2.364982  -0.227050  5.760466e+06 -4.718781e+06 -1.064608e+07 4.001 2
     83   1.658275   1.799971  -0.416102  2.152790e+06 -3.583402e+06  1.230096e+07 4.001 2
     84   2.105711   1.766425   0.154582 -1.233147e+07 -3.016143e+06 -2.761614e+06 4.001 2
     85   1.598973   3.046647  -0.886566 -6.109712e+06  9.635671e+06  6.214022e+06 4.001 2
     86   1.977727  -1.783400   0.410027 -1.123397e+07 -2.243777e+06  6.127985e+06 4.001 2
     87   1.636551  -2.200127  -1.011518 -8.320252e+06 -9.777136e+06 -1.992444e+06 4.001 2
     88   1.917155  -0.975329  -0.279970 -6.320403e+06 -2.561293e+06 -1.105808e+07 4.001 2
     89   2.391280   2.740910  -0.108148  4.071521e+06 -2.083413e+06 -1.216022e+07 4.001 2
     90   1.504590   0.484570   0.480260  7.176180e+06 -9.114706e+06  5.849220e+06 4.001 2
     91   1.661256  -1.297093   0.401218  8.656546e+06  3.078631e+06  9.185590e+06 4.001 2
     92   1.771500  -2.950872   0.377579  5.993308e+06 -5.959699e+06  9.866664e+06 4.001 2
     93   1.523693  -1.906104  -0.814777  1.100284e+07  6.890707e+06 -4.943467e+05 4.001 2
     94   1.525084  -0.425393   0.489504  6.213809e+06  6.195538e+06  9.580850e+06 4.001 2
     95   2.225729   3.102197  -0.155785  2.929407e+06 -4.664802e+06 -1.176635e+07 4.001 2
     96   2.075678   0.860760   0.191734 -1.026077e+07 -4.771223e+06  6.382855e+06 4.001 2
     97   1.981155   2.814776  -0.797322 -4.661044e+06  1.162227e+07  3.462132e+06 4.001 2
     98   1.698728   0.089941  -0.656851  7.656950e+06  9.556582e+06  4.339547e+06 4.001 2
     99   1.463503  -2.957881   0.861543  2.785526e+06  4.424149e+06 -1.189355e+07 4.001 2
    100   2.182873  -2.933068  -0.256959 -4.418919e+06 -1.956009e+06 -1.205968e+07 4.001 2
    101   1.490462   3.008490  -0.277783  6.651422e+06 -9.630371e+06 -5.639445e+06 4.001 2
    102   1.462243   0.006087  -0.828095  8.606848e+06  6.375204e+06 -7.353077e+06 4.001 2
    103   1.663006  -2.428414   0.543111  1.130084e+07  4.468013e+06 -4.595298e+06 4.001 2
    104   1.637360  -1.011318   0.438809  1.217476e+06 -5.466689e+05  1.292315e+07 4.001 2
    105   1.387510   2.104682   0.205583 -6.698260e+06 -8.073283e+06 -7.664478e+06 4.001 2
    106   2.191360   0.104697  -0.339653  4.775988e+06  6.191131e+06  1.037539e+07 4.001 2
    107   1.801818  -2.777195  -0.931908 -8.704214e+06 -9.529360e+06  1.488879e+06 4.001 2
    108   1.724569   1.279073  -0.741911  7.058221e+06 -2.186836e+06 -1.068588e+07 4.001 2
    109   1.922154   0.453203  -0.879076  1.231915e+05 -4.297613e+06  1.225986e+07 4.001 2
    110   1.939351  -2.143539   0.185347  9.280682e+06 -3.211875e+06  8.505387e+06 4.001 2
    111   1.982423   2.213780  -0.492889 -1.289305e+07 -7.294714e+05  1.423357e+06 4.001 2
    112   1.857673  -2.519694   0.206449 -1.297761e+07 -1.160216e+05 -5.975556e+05 4.001 2
    113   2.146208   1.321975   0.446448  2.012860e+06  1.201647e+06 -1.277862e+07 4.001 2
    114   2.060464  -1.602953  -0.544908 -6.137885e+06 -7.096542e+06 -8.986338e+06 4.001 2
    115   1.487722   2.336011  -0.487121 -7.431527e+06 -5.832402e+06 -8.918761e+06 4.001 2
    116   1.559532   1.672849  -0.646201 -4.838267e+06 -7.512264e+06 -9.431111e+06 4.001 2
    117   2.223172   0.489565   0.409386 -3.556617e+06  3.850543e+06  1.188750e+07 4.001 2
    118   1.373819   0.688788   0.203153 -6.833210e+06  3.060656e+06  1.061736e+07 4.001 2
    119   2.148180  -2.393978  -0.252757 -2.239525e+06  2.192635e+06 -1.260816e+07 4.001 2
    120   2.096484   1.699208  -0.311033 -8.220778e+06  2.808472e+06 -9.660232e+06 4.001 2
    121   1.432513   0.932898   0.229521 -1.225223e+07 -1.631329e+06  4.001296e+06 4.001 2
    122   1.809950  -0.069614   0.838068  6.819862e+06  3.640727e+06 -1.044143e+07 4.001 2
    123   2.011567  -1.601644  -0.507470 -1.069894e+07 -6.864989e+06  2.682063e+06 4.001 2
    124   2.267665  -1.929664  -0.153787 -1.258843e+07 -3.113147e+06 -7.927737e+05 4.001 2
    125   1.886601  -1.867178   0.846835 -4.572723e+06 -2.507608e+06  1.189920e+07 4.001 2
    126   1.418750   0.669824   0.364801  1.286273e+07  2.861224e+05 -1.804742e+06 4.001 2
    127   2.146510  -3.015962   0.270911  1.126807e+06  4.321768e+06  1.220006e+07 4.001 2
    128   1.775965  -1.681110   0.810106 -9.974493e+06  6.551273e+06  5.136061e+06 4.001 2
    129   2.111452  -1.507390  -0.677079  2.320094e+06  8.928497e+06  9.148109e+06 4.001 2
    130   1.828925  -2.572392  -0.303028 -3.842971e+06 -4.156747e+06  1.169367e+07 4.001 2
    131   2.149892   0.204218   0.346936 -1.097170e+06  6.331956e+06 -1.129121e+07 4.001 2
    132   1.770351   1.558069   0.681789 -1.883953e+06  7.776582e+06 -1.023544e+07 4.001 2
    133   2.201144   1.880435  -0.345782  1.182109e+07  1.136838e+06 -5.268614e+06 4.001 2
    134   1.505708   1.605790   0.024064  9.545722e+06  7.462729e+06  4.687823e+06 4.001 2
    135   1.546079   0.202584  -0.260299  1.214497e+07 -4.103245e+06  2.109939e+06 4.001 2
    136   2.110078  -1.366124   0.030912 -1.241618e+07 -1.005922e+06 -3.689909e+06 4.001 2
    137   1.810750   1.179508  -0.735690  3.359269e+06  3.995580e+06  1.189704e+07 4.001 2
    138   1.951037   1.801253   0.290753  1.222974e+07  4.378288e+06  2.300565e+05 4.001 2
    139   1.821994   0.274293   0.670234  6.753650e+06 -7.082172e+06 -8.545166e+06 4.001 2
    140   1.361844  -0.860234  -0.055225 -1.204448e+07 -3.184957e+06 -3.684477e+06 4.001 2
    141   2.023256   1.036034  -0.569881  1.164920e+07 -5.466563e+06  1.789286e+06 4.001 2
    142   1.492650  -3.096973   0.654002 -4.794085e+06  8.642697e+06 -8.432635e+06 4.001 2
    143   1.523149   3.032393  -0.909201  9.296683e+06 -7.352477e+06  5.319923e+06 4.001 2
    144   2.174187  -1.966085   0.581690  3.102011e+05  4.004052e+05  1.298200e+07 4.001 2
    145   2.310173   3.124678   0.058889  1.983811e+06  2.651395e+06 -1.256278e+07 4.001 2
    146   2.073125  -3.123890   0.138575 -1.784010e+06  2.120485e+06  1.269290e+07 4.001 2
    147   1.736917   0.883069   0.806611  9.796972e+06 -4.514825e+06 -7.240477e+06 4.001 2
    148   2.170651   2.937463  -0.433062  5.100229e+06  5.008535e+05 -1.193841e+07 4.001 2
    149   2.193282  -1.030300   0.064835 -1.275186e+07  7.293390e+05  2.376314e+06 4.001 2
    150   2.099724   0.598244   0.689918  1.239555e+07  3.821110e+06 -7.336494e+05 4.001 2
    151   1.498507  -2.478319  -0.022741  8.473413e+06 -4.795560e+06  8.601900e+06 4.001 2
    152   1.592162  -3.118924  -0.638531 -2.654001e+06 -1.712839e+06 -1.260203e+07 4.001 2
    153   2.043062   0.633267   0.722207 -1.046186e+07  6.439823e+05  7.676166e+06 4.001 2
    154   1.691077   1.744747   0.675440 -1.256779e+07 -2.590599e+06  2.031783e+06 4.001 2
    155   1.900025  -0.126251  -0.319721 -5.861566e+06  7.929207e+05  1.156729e+07 4.001 2
    156   1.371791   1.453102   0.247902  7.968671e+06  1.024657e+07  5.448958e+05 4.001 2
    157   1.708758  -1.173359  -0.785021 -1.183656e+07 -4.436686e+06 -3.000095e+06 4.001 2
    158   1.654770   2.367700  -0.824645  1.062167e+07  6.353845e+06 -3.949368e+06 4.001 2
    159   1.824093   2.740887  -0.451053  4.944461e+06 -4.940858e+06  1.095121e+07 4.001 2
    160   1.808080  -1.444843  -0.382002 -5.565514e+06  4.628978e+06 -1.078825e+07 4.001 2
    161   2.242617  -1.211894  -0.184548 -7.959436e+06  1.300338e+06  1.018554e+07 4.001 2
    162   1.534755   0.797716   0.819074 -7.457560e+06  1.354778e+06 -1.055169e+07 4.001 2
