n r phi z vr vphi vz mass charge
      0   2.169248  -3.977810   0.280170  8.060005e+06 -6.464818e+06  8.640118e+06 4.001 2
      1   1.721062 -71.931596  -0.373907  5.696556e+06  5.393857e+06 -4.343664e+06 4.001 2
      2   1.876538 -127.938815   0.819654  1.023712e+07  1.082465e+07 -7.104712e+06 4.001 2
      3   1.689570 -90.018889   0.739809  6.703043e+06 -1.342928e+06 -1.104729e+07 4.001 2
      4   1.747921  57.427724   0.144084 -1.491159e+06 -1.471278e+06  1.290295e+07 4.001 2
      5   1.929511 -147.530106   0.200933  6.619357e+06  8.361483e+06  9.684574e+06 4.001 2
      6   1.651634  29.686296   0.341084  4.679291e+06  7.908904e+06  9.424341e+06 4.001 2
      7   1.862467  58.390934  -0.768401 -5.398595e+06 -3.664768e+06 -1.153589e+07 4.001 2
      8   1.410722 127.442505  -0.038096 -7.615574e+06  8.840709e+06 -8.843184e+06 4.001 2
      9   2.050702 -55.454469   0.666351  1.239958e+07 -1.092805e+07 -3.416228e+06 4.001 2
     10   1.936032  55.708666   0.727340  8.661997e+06  7.789302e+06  9.653669e+06 4.001 2
     11   1.466403 -102.740910  -0.555685 -5.296498e+06  5.657209e+06  7.965736e+06 4.001 2
     12   2.013364 -53.728414  -0.141248  1.117248e+07 -9.716941e+06 -5.841697e+06 4.001 2
     13   2.188799 -21.576040  -0.637376 -3.596076e+06 -2.923906e+06  1.007001e+07 4.001 2
     14   1.466158 -22.432239   0.112275 -1.136258e+07  6.988647e+06  6.130369e+06 4.001 2
     15   2.152443  -1.345795  -0.458129  1.161129e+07  3.295354e+06 -4.379921e+06 4.001 2
     16   1.692756 -93.947865  -1.020016  6.778745e+06  8.444520e+06 -8.080948e+06 4.001 2
     17   2.230069 -37.499584   0.497008  1.610372e+06 -1.888164e+06 -1.282745e+07 4.001 2
     18   2.156514 -28.332472  -0.197223  6.552397e+06  6.856358e+05  4.506543e+05 4.001 2
     19   1.869792 -135.366469   0.359238 -2.917867e+06 -3.041921e+06  8.115666e+06 4.001 2
     20   1.766296 -151.829905  -0.857466 -5.166768e+06 -7.572903e+06  1.035546e+07 4.001 2
     21   1.977251 172.987136   0.708275 -9.770848e+06  2.745027e+06  8.553850e+06 4.001 2
     22   1.488558 113.724960   0.296340  2.619013e+06 -9.225793e+06 -6.746171e+06 4.001 2
     23   1.574390  13.642012  -0.064722  1.170344e+07  9.084187e+06  3.782191e+06 4.001 2
     24   1.950472 -32.360716   0.489045  9.278971e+06 -4.573417e+06  1.669807e+06 4.001 2
     25   2.030769 172.888156   0.293115  4.967836e+06  1.448781e+06 -1.168442e+07 4.001 2
     26   2.249399 -22.914447  -0.360114 -1.049536e+07  9.394117e+06 -7.173802e+06 4.001 2
     27   1.779748   5.149307   0.720381 -1.210568e+06 -6.883881e+06 -1.101819e+07 4.001 2
     28   1.720596 -12.294307   0.651886 -1.205195e+07  4.706774e+06  4.839888e+06 4.001 2
     29   2.332793  95.594684   0.310296  5.468130e+06  8.895691e+06 -5.989270e+06 4.001 2
     30   1.886457 -90.888930  -0.617024  7.179799e+06 -9.882593e+06 -3.875943e+06 4.001 2
     31   1.910152 -22.800435   0.404599 -8.249732e+06  9.959884e+06  8.183187e+06 4.001 2
     32   1.613856  11.119479   0.369749  1.009308e+07 -3.751438e+06  9.342664e+04 4.001 2
     33   1.339166 -152.153149  -0.413177  1.247249e+07  8.348085e+06 -1.094802e+06 4.001 2
     34   2.086936  83.155782  -0.265843  1.239172e+07  2.696613e+06 -3.895544e+06 4.001 2
     35   1.800972 -112.287550  -0.309598 -6.642835e+06 -7.225439e+06 -1.056946e+07 4.001 2
     36   2.125767  68.028746   0.337644  2.809457e+06  7.825932e+06 -9.710349e+06 4.001 2
     37   2.047525 -80.505657   0.307896  7.048936e+06 -4.819057e+06 -1.058150e+07 4.001 2
     38   2.188433 -153.986765   0.298383  6.910913e+06  7.623183e+06  1.041771e+07 4.001 2
     39   1.597353 -29.716215  -0.082852 -1.260538e+07  1.205808e+07  2.069758e+06 4.001 2
     40   1.926821 -24.785699  -0.800294 -1.623529e+05 -1.188229e+06 -1.283240e+07 4.001 2
     41   2.239634 -65.092488   0.369462  1.103525e+07 -1.216460e+07 -3.677438e+06 4.001 2
     42   1.816496 139.662044  -0.472487  2.154194e+06 -3.101503e+06  1.130826e+07 4.001 2
     43   1.792487  63.874123   0.745582 -1.079999e+07 -4.788019e+06 -3.820270e+06 4.001 2
     44   1.961223 -178.173269   0.835625  3.400415e+06  8.953102e+06  8.977179e+06 4.001 2
     45   2.107498 -63.158801   0.558454 -5.778632e+06  3.634305e+06 -1.150737e+07 4.001 2
     46   1.589128 -174.329421   1.036275  9.411817e+06 -6.906445e+06 -6.568577e+05 4.001 2
     47   1.735243 -169.405756   0.045232  8.190687e+06  8.023455e+06 -8.497948e+06 4.001 2
     48   1.577656 120.922040  -0.250596 -1.264107e+07  1.255919e+07 -1.137888e+05 4.001 2
     49   2.306858 154.164699  -0.240118  4.721562e+06 -4.209807e+06 -1.207602e+07 4.001 2
     50   2.024836   3.511728   0.157204  1.279067e+07  7.319585e+05 -2.117716e+06 4.001 2
     51   1.915491 -149.716954  -0.099773  9.312002e+06  8.746034e+06  8.966630e+06 4.001 2
     52   1.976714 -28.625525  -0.315092  2.834737e+06  4.045141e+06 -4.415887e+06 4.001 2
     53   1.300915 -63.000692   0.279236 -6.628567e+06  8.420151e+06 -9.889011e+06 4.001 2
     54   1.835491 -57.090446  -0.344279 -1.122814e+07  1.289841e+07  8.314408e+05 4.001 2
     55   1.689120 -93.342672   0.903508  2.261240e+06  4.121505e+06  1.218954e+07 4.001 2
     56   1.977540   3.339618  -0.844928 -1.039456e+07 -3.617617e+06  7.406811e+06 4.001 2
     57   1.534469 114.436210  -0.255762  4.286630e+06  1.672808e+06  9.740430e+06 4.001 2
