n r phi z vr vphi vz mass charge
      0   2.169248  -3.977810   0.280170  9.702431e+06 -6.598221e-01  8.640118e+06 4.001 2
      1   1.721062 -71.931596  -0.373907  1.224424e+07 -2.342330e+00 -4.343664e+06 4.001 2
      2   1.876538 -127.938815   0.819654  1.087713e+07 -2.577702e+00 -7.104712e+06 4.001 2
      3   1.689570 -90.018889   0.739809  6.837115e+06 -1.372764e+00 -1.104729e+07 4.001 2
      4   1.747921  57.427724   0.144084  1.517462e+06 -2.325751e+00  1.290295e+07 4.001 2
      5   1.929511 -147.530106   0.200933  8.660129e+06 -1.874120e+00  9.684574e+06 4.001 2
      6   1.651634  29.686296   0.341084  8.942629e+06  1.538252e+00  9.424341e+06 4.001 2
      7   1.862467  58.390934  -0.768401  5.975947e+06 -1.679287e+00 -1.153589e+07 4.001 2
      8   1.410722 127.442505  -0.038096  9.517715e+06 -2.740458e-01 -8.843184e+06 4.001 2
      9   2.050702 -55.454469   0.666351  1.253468e+07 -1.114813e+00 -3.416228e+06 4.001 2
     10   1.936032  55.708666   0.727340  8.694566e+06  1.058881e+00  9.653669e+06 4.001 2
     11   1.466403 -102.740910  -0.555685  1.026333e+07  2.376976e+00  7.965736e+06 4.001 2
     12   2.013364 -53.728414  -0.141248  1.160446e+07 -1.211445e+00 -5.841697e+06 4.001 2
     13   2.188799 -21.576040  -0.637376  8.208758e+06 -2.400829e+00  1.007001e+07 4.001 2
     14   1.466158 -22.432239   0.112275  1.145458e+07  2.876899e+00  6.130369e+06 4.001 2
     15   2.152443  -1.345795  -0.458129  1.223132e+07  2.962787e-01 -4.379921e+06 4.001 2
     16   1.692756 -93.947865  -1.020016  1.017286e+07 -2.481185e+00 -8.080948e+06 4.001 2
     17   2.230069 -37.499584   0.497008  2.060392e+06 -1.328084e+00 -1.282745e+07 4.001 2
     18   2.156514 -28.332472  -0.197223  1.298406e+07  5.473255e-01  4.506543e+05 4.001 2
     19   1.869792 -135.366469   0.359238  1.014518e+07  2.058067e+00  8.115666e+06 4.001 2
     20   1.766296 -151.829905  -0.857466  7.845586e+06  1.343557e+00  1.035546e+07 4.001 2
     21   1.977251 172.987136   0.708275  9.778571e+06 -1.621452e-01  8.553850e+06 4.001 2
     22   1.488558 113.724960   0.296340  1.110306e+07 -2.965640e+00 -6.746171e+06 4.001 2
     23   1.574390  13.642012  -0.064722  1.242915e+07  5.815087e-01  3.782191e+06 4.001 2
     24   1.950472 -32.360716   0.489045  1.288412e+07  2.019240e-01  1.669807e+06 4.001 2
     25   2.030769 172.888156   0.293115  5.680056e+06 -2.759553e+00 -1.168442e+07 4.001 2
     26   2.249399 -22.914447  -0.360114  1.083168e+07  2.491810e+00 -7.173802e+06 4.001 2
     27   1.779748   5.149307   0.720381  6.883911e+06 -1.657698e+00 -1.101819e+07 4.001 2
     28   1.720596 -12.294307   0.651886  1.205671e+07  2.955118e+00  4.839888e+06 4.001 2
     29   2.332793  95.594684   0.310296  1.152898e+07  5.918079e-01 -5.989270e+06 4.001 2
     30   1.886457 -90.888930  -0.617024  1.240024e+07 -6.330226e-01 -3.875943e+06 4.001 2
     31   1.910152 -22.800435   0.404599  1.009080e+07  2.129997e+00  8.183187e+06 4.001 2
     32   1.613856  11.119479   0.369749  1.299154e+07 -4.870031e-01  9.342664e+04 4.001 2
     33   1.339166 -152.153149  -0.413177  1.294566e+07 -2.926777e+00 -1.094802e+06 4.001 2
     34   2.086936  83.155782  -0.265843  1.239409e+07  1.470924e+00 -3.895544e+06 4.001 2
     35   1.800972 -112.287550  -0.309598  7.554819e+06  6.853666e-01 -1.056946e+07 4.001 2
     36   2.125767  68.028746   0.337644  8.631218e+06 -5.193075e-02 -9.710349e+06 4.001 2
     37   2.047525 -80.505657   0.307896  7.537949e+06 -1.042908e+00 -1.058150e+07 4.001 2
     38   2.188433 -153.986765   0.298383  7.762733e+06 -2.214713e+00  1.041771e+07 4.001 2
     39   1.597353 -29.716215  -0.082852  1.282595e+07  2.437222e+00  2.069758e+06 4.001 2
     40   1.926821 -24.785699  -0.800294  2.029348e+06 -2.083476e+00 -1.283240e+07 4.001 2
     41   2.239634 -65.092488   0.369462  1.246055e+07 -6.530990e-01 -3.677438e+06 4.001 2
     42   1.816496 139.662044  -0.472487  6.396251e+06  1.210272e+00  1.130826e+07 4.001 2
     43   1.792487  63.874123   0.745582  1.241750e+07 -1.510657e+00 -3.820270e+06 4.001 2
     44   1.961223 -178.173269   0.835625  9.391436e+06 -1.909408e+00  8.977179e+06 4.001 2
     45   2.107498 -63.158801   0.558454  6.030682e+06  1.749129e+00 -1.150737e+07 4.001 2
     46   1.589128 -174.329421   1.036275  1.297526e+07  2.481333e+00 -6.568577e+05 4.001 2
     47   1.735243 -169.405756   0.045232  9.827191e+06 -2.371253e+00 -8.497948e+06 4.001 2
     48   1.577656 120.922040  -0.250596  1.299138e+07 -7.983551e-01 -1.137888e+05 4.001 2
     49   2.306858 154.164699  -0.240118  4.791520e+06  2.519591e+00 -1.207602e+07 4.001 2
     50   2.024836   3.511728   0.157204  1.281812e+07 -4.156700e-03 -2.117716e+06 4.001 2
     51   1.915491 -149.716954  -0.099773  9.401508e+06 -2.474956e+00  8.966630e+06 4.001 2
     52   1.976714 -28.625525  -0.315092  1.221838e+07  8.370472e-01 -4.415887e+06 4.001 2
     53   1.300915 -63.000692   0.279236  8.425928e+06  2.707396e+00 -9.889011e+06 4.001 2
     54   1.835491 -57.090446  -0.344279  1.296524e+07  2.668789e+00  8.314408e+05 4.001 2
     55   1.689120 -93.342672   0.903508  4.494873e+06 -2.672785e+00  1.218954e+07 4.001 2
     56   1.977540   3.339618  -0.844928  1.067370e+07 -2.854103e+00  7.406811e+06 4.001 2
     57   1.534469 114.436210  -0.255762  8.597257e+06  9.484803e-01  9.740430e+06 4.001 2
     58   1.845201 -148.087925   0.793990  1.105964e+07 -2.636602e+00  6.817127e+06 4.001 2
     59   1.538734 171.418545   0.353634  1.124605e+07 -5.209648e-01 -6.505011e+06 4.001 2
     60   1.604004   5.528628   0.320761  1.297616e+07  2.875017e-01 -6.388713e+05 4.001 2
     61   1.554836 -77.180307   0.340430  2.589838e+06  1.889902e+00  1.273113e+07 4.001 2
     62   2.228252 -133.867508   0.046719  1.287812e+07  1.195183e+00 -1.715484e+06 4.001 2
     63   1.877451 133.083818  -0.381443  9.739587e+06 -9.219487e-01  8.598212e+06 4.001 2
     64   1.878377 145.445288  -0.570231  1.120237e+07  2.691417e+00 -6.579948e+06 4.001 2
     65   2.003664 104.078506   0.489087  7.813216e+06  1.994284e-01 -1.037991e+07 4.001 2
     66   1.706003 -177.840642  -0.087147  8.581326e+06  5.960443e-02 -9.754468e+06 4.001 2
     67   2.230307 179.591722  -0.281170  1.137757e+07 -2.507934e+00 -6.272146e+06 4.001 2
     68   1.844786 -74.252475  -0.856317  9.358796e+06  1.892677e+00  9.011200e+06 4.001 2
     69   1.704214  45.854621   0.037227  8.453588e+06 -1.977991e+00  9.865376e+06 4.001 2
     70   1.710947  93.882791  -0.566375  8.921045e+06 -2.017758e+00  9.444774e+06 4.001 2
     71   2.054630  10.839502  -0.148541  1.123485e+07  1.496641e+00  6.524336e+06 4.001 2
     72   2.159772 -174.588302   0.316331  1.290437e+07  6.909879e-01  1.505354e+06 4.001 2
     73   2.242882 -58.710664  -0.128520  7.006129e+06  2.528395e+00  1.094088e+07 4.001 2
     74   1.542507 147.999210   0.514590  1.298310e+07  1.860007e+00 -4.773273e+05 4.001 2
     75   1.581426 -77.244736   0.754706  1.190475e+07 -1.723802e+00  5.202480e+06 4.001 2
     76   1.565763 -117.236877   1.029670  1.177579e+07 -1.688764e+00 -5.488132e+06 4.001 2
     77   2.063434  12.326785   0.141107  9.651512e+06 -3.023538e+00  8.696960e+06 4.001 2
     78   1.431276 144.106457  -0.605086  9.496823e+06 -1.734635e-01  8.865616e+06 4.001 2
     79   1.526919 -179.291719  -0.086740  1.296812e+07 -7.733518e-02 -7.852079e+05 4.001 2
     80   1.861597  -0.762075  -0.456093  1.169704e+07  3.010001e+00 -5.654020e+06 4.001 2
     81   2.093046 -70.064137   0.018201  1.104687e+07 -2.288707e+00 -6.837795e+06 4.001 2
     82   1.862810 135.503492  -0.227050  7.446467e+06  1.678663e+00 -1.064608e+07 4.001 2
     83   1.658275 103.130764  -0.416102  4.180343e+06  7.701584e-01  1.230096e+07 4.001 2
     84   2.105711 101.208709   0.154582  1.269497e+07 -1.135288e+00 -2.761614e+06 4.001 2
     85   1.598973 174.559999  -0.886566  1.140941e+07 -1.100646e+00  6.214022e+06 4.001 2
     86   1.977727 -102.181266   0.410027  1.145585e+07  1.555330e+00  6.127985e+06 4.001 2
     87   1.636551 -126.058000  -1.011518  1.283818e+07  1.807193e+00 -1.992444e+06 4.001 2
     88   1.917155 -55.882256  -0.279970  6.819656e+06  2.551280e+00 -1.105808e+07 4.001 2
     89   2.391280 157.042571  -0.108148  4.573608e+06  2.267943e+00 -1.216022e+07 4.001 2
     90   1.504590  27.763807   0.480260  1.160066e+07 -4.192659e-01  5.849220e+06 4.001 2
     91   1.661256 -74.317945   0.401218  9.187695e+06 -9.554006e-01  9.185590e+06 4.001 2
     92   1.771500 -169.072531   0.377579  8.452086e+06  2.549727e+00  9.866664e+06 4.001 2
     93   1.523693 -109.211743  -0.814777  1.298247e+07 -1.346595e+00 -4.943467e+05 4.001 2
     94   1.525084 -24.373220   0.489504  8.774743e+06  3.585329e-01  9.580850e+06 4.001 2
     95   2.225729 177.742795  -0.155785  5.508340e+06  2.092141e+00 -1.176635e+07 4.001 2
     96   2.075678  49.317895   0.191734  1.131583e+07 -1.845578e+00  6.382855e+06 4.001 2
     97   1.981155 161.274794  -0.797322  1.252208e+07 -1.516206e+00  3.462132e+06 4.001 2
     98   1.698728   5.153220  -0.656851  1.224570e+07  9.852510e-01  4.339547e+06 4.001 2
     99   1.463503 -169.474099   0.861543  5.228026e+06 -1.948998e+00 -1.189355e+07 4.001 2
    100   2.182873 -168.052394  -0.256959  4.832475e+06  6.252451e-01 -1.205968e+07 4.001 2
    101   1.490462 172.373767  -0.277783  1.170408e+07  2.042131e+00 -5.639445e+06 4.001 2
    102   1.462243   0.348774  -0.828095  1.071079e+07  6.436181e-01 -7.353077e+06 4.001 2
    103   1.663006 -139.137847   0.543111  1.215204e+07 -2.051905e+00 -4.595298e+06 4.001 2
    104   1.637360 -57.944272   0.438809  1.334577e+06 -1.433355e+00  1.292315e+07 4.001 2
    105   1.387510 120.589398   0.205583  1.049021e+07 -1.586940e-01 -7.664478e+06 4.001 2
    106   2.191360   5.998677  -0.339653  7.819217e+06  1.018421e+00  1.037539e+07 4.001 2
    107   1.801818 -159.121533  -0.931908  1.290628e+07  1.195020e+00  1.488879e+06 4.001 2
    108   1.724569  73.285486  -0.741911  7.389231e+06  9.786241e-01 -1.068588e+07 4.001 2
    109   1.922154  25.966645  -0.879076  4.299378e+06 -1.088936e+00  1.225986e+07 4.001 2
    110   1.939351 -122.815732   0.185347  9.820753e+06 -2.476719e+00  8.505387e+06 4.001 2
    111   1.982423 126.840272  -0.492889  1.291367e+07 -8.712939e-01  1.423357e+06 4.001 2
    112   1.857673 -144.367822   0.206449  1.297813e+07  6.308387e-01 -5.975556e+05 4.001 2
    113   2.146208  75.743590   0.446448  2.344261e+06  1.860175e+00 -1.277862e+07 4.001 2
    114   2.060464 -91.842461  -0.544908  9.382672e+06  2.396348e+00 -8.986338e+06 4.001 2
    115   1.487722 133.843576  -0.487121  9.446931e+06 -1.401663e-01 -8.918761e+06 4.001 2
    116   1.559532  95.847184  -0.646201  8.935488e+06 -4.701278e-01 -9.431111e+06 4.001 2
    117   2.223172  28.049998   0.409386  5.241776e+06  2.806099e+00  1.188750e+07 4.001 2
